,transaction_date,description,amount,from_account,sub_category,category,c_or_d
35,2024-06-27,LYFT 1 RIDE 06-26 8558659553 CA,-12.79,bilt,travel,luxuries,expenditures
36,2024-09-23,GoFundMe Support a Loving,-1000.0,chase,Donation,flexible,expenditures
37,2024-09-22,BOMBAY CHAAT HOUSE INC,-24.81,chase,dining,luxuries,expenditures
38,2024-09-22,ANNAPOORNA,-137.74,chase,dining,luxuries,expenditures
39,2024-09-21,APPLE.COM/BILL,-39.99,chase,payments_made,payments_made,expenditures
40,2024-09-20,BOMBAY CHAAT HOUSE INC,-18.04,chase,dining,luxuries,expenditures
41,2024-09-16,MILPITAS CAFE,-7.1,chase,dining,luxuries,expenditures
42,2024-09-16,CVS/PHARMACY #09161,-28.2,chase,medical,mandatory_needs,expenditures
43,2024-09-13,MILPITAS CAFE,-7.1,chase,dining,luxuries,expenditures
44,2024-09-11,MILPITAS CAFE,-7.1,chase,dining,luxuries,expenditures
45,2024-09-12,MILPITAS CAFE,-7.1,chase,dining,luxuries,expenditures
46,2024-09-09,SQ *NAMMA RESTAURANT,-58.45,chase,dining,luxuries,expenditures
47,2024-09-08,OTTER* SAAPAADUU,-233.71,chase,dining,luxuries,expenditures
48,2024-09-03,JERSEY MIKES 20220,-12.3,chase,dining,luxuries,expenditures
49,2024-09-03,CHEVRON 0206855,-2.5,chase,gas,mandatory_needs,expenditures
50,2024-09-03,BOMBAY CHAAT HOUSE INC,-10.93,chase,dining,luxuries,expenditures
51,2024-09-03,Payment Thank You-Mobile,375.57,chase,payment_confirmations,payment_confirmations,earnings
52,2024-09-02,TST*SWAGAT INDIAN CUISIN,-23.18,chase,dining,luxuries,expenditures
53,2024-08-31,MICHAEL'S SUBARU OF BELL,-168.23,chase,maintenance,mandatory_needs,expenditures
54,2024-08-31,MAYURI FOODS,-13.78,chase,dining,luxuries,expenditures
55,2024-08-31,MAYURI FOODS,-5.07,chase,dining,luxuries,expenditures
56,2024-08-27,SQ *RARETEA KIRKLAND,-7.38,chase,dining,luxuries,expenditures
57,2024-08-22,NAAN N MASALA,-67.16,chase,dining,luxuries,expenditures
58,2024-08-24,GoFundMe Support for Bala,-29.0,chase,Donation,flexible,expenditures
59,2024-08-20,SAFEWAY #1879,-5.49,chase,groceries,mandatory_needs,expenditures
60,2024-08-21,SQ *LAS HERNANDEZ,-12.5,chase,dining,luxuries,expenditures
61,2024-08-19,SQ *LAS HERNANDEZ,-12.5,chase,dining,luxuries,expenditures
62,2024-08-19,DD *DOORDASH NAMMAREST,-25.27,chase,dining,luxuries,expenditures
63,2024-08-19,INDIA METRO HYPERMARKET,-29.19,chase,groceries,mandatory_needs,expenditures
64,2024-08-19,Payment Thank You-Mobile,331.37,chase,payment_confirmations,payment_confirmations,earnings
65,2024-08-15,SQ *LAS HERNANDEZ,-12.5,chase,dining,luxuries,expenditures
66,2024-08-12,MILPITAS CAFE,-9.91,chase,dining,luxuries,expenditures
67,2024-08-13,INDIA METRO HYPERMARKET,-11.29,chase,groceries,mandatory_needs,expenditures
68,2024-08-09,SQ *BIRYANI JUNCTION,-15.3,chase,dining,luxuries,expenditures
69,2024-08-09,APPLE.COM/BILL,-99.99,chase,payments_made,payments_made,expenditures
70,2024-08-02,SQ *BIRYANI JUNCTION,-30.6,chase,dining,luxuries,expenditures
71,2024-08-01,IN *BINTANG BADMINTON CAM,-110.0,chase,subscriptions,flexible,expenditures
72,2024-07-31,MILPITAS CAFE,-10.45,chase,dining,luxuries,expenditures
73,2024-07-30,SAFEWAY #1879,-6.99,chase,groceries,mandatory_needs,expenditures
74,2024-07-30,INDIA METRO HYPERMARKET,-5.79,chase,groceries,mandatory_needs,expenditures
75,2024-07-29,MILPITAS CAFE,-6.55,chase,dining,luxuries,expenditures
76,2024-07-26,Payment Thank You-Mobile,123.99,chase,payment_confirmations,payment_confirmations,earnings
77,2024-07-25,SQ *LAS HERNANDEZ,-12.0,chase,dining,luxuries,expenditures
78,2024-07-22,NAYAX AIR 3,-2.0,chase,additional_charges,luxuries,expenditures
79,2024-07-23,SQ *BIRYANI JUNCTION,-15.3,chase,dining,luxuries,expenditures
80,2024-07-22,APPLE.COM/BILL,-0.99,chase,payments_made,payments_made,expenditures
81,2024-07-19,SQ *BIRYANI JUNCTION,-16.4,chase,dining,luxuries,expenditures
82,2024-07-17,SQ *INDIAN SIZZLER,-81.84,chase,dining,luxuries,expenditures
83,2024-07-15,MILPITAS CAFE,-7.46,chase,dining,luxuries,expenditures
84,2024-07-13,Payment Thank You-Mobile,686.34,chase,payment_confirmations,payment_confirmations,earnings
85,2024-07-11,SQ *NAMMA RESTAURANT,-161.71,chase,dining,luxuries,expenditures
86,2024-07-07,TST* PARADISE BIRYANI - M,-17.49,chase,dining,luxuries,expenditures
87,2024-07-06,SQ *NAMMA RESTAURANT,-120.17,chase,dining,luxuries,expenditures
88,2024-07-05,SQ *NAMMA RESTAURANT,-16.4,chase,dining,luxuries,expenditures
89,2024-07-04,SQ *NAMMA RESTAURANT,-33.87,chase,dining,luxuries,expenditures
90,2024-07-03,KOMALA VILAS,-29.46,chase,dining,luxuries,expenditures
91,2024-07-01,SQ *BINTANG BADMINTON MIL,-21.0,chase,subscriptions,flexible,expenditures
92,2024-07-01,IN *BINTANG BADMINTON CAM,-110.0,chase,subscriptions,flexible,expenditures
93,2024-06-30,KOMALA VILAS,-29.46,chase,dining,luxuries,expenditures
94,2024-06-30,DOMINO'S 8681,-30.58,chase,dining,luxuries,expenditures
95,2024-09-24,COSTCO WHSE #1004 SAN JOSE CA,-32.76,citi,groceries,mandatory_needs,expenditures
96,2024-09-24,COSTCO WHSE #1004 SAN JOSE CA,-7.75,citi,groceries,mandatory_needs,expenditures
97,2024-09-17,COSTCO GAS #1004 SAN JOSE CA,-57.57,citi,gas,mandatory_needs,expenditures
98,2024-09-17,COSTCO WHSE #1004 SAN JOSE CA,-20.77,citi,groceries,mandatory_needs,expenditures
99,2024-09-17,"ONLINE PAYMENT, THANK YOU",560.55,citi,payment_confirmations,payment_confirmations,earnings
100,2024-09-16,SAGE ACUPUNCTURE HEALTH SAN JOSE CA,-105.0,citi,mistake,luxuries,expenditures
101,2024-09-16,SAGE ACUPUNCTURE HEALTH SAN JOSE CA,-73.0,citi,mistake,luxuries,expenditures
102,2024-09-10,COSTCO WHSE #1004 SAN JOSE CA,-246.45,citi,groceries,mandatory_needs,expenditures
103,2024-09-06,COSTCO GAS #1004 SAN JOSE CA,-54.86,citi,gas,mandatory_needs,expenditures
104,2024-09-03,"ONLINE PAYMENT, THANK YOU",1654.43,citi,payment_confirmations,payment_confirmations,earnings
105,2024-09-03,MILPITAS AUTO SPA & DETAIMILPITAS CA,-16.99,citi,maintenance,mandatory_needs,expenditures
106,2024-09-03,CHEVRON 0095610 CORNING CA,-3.74,citi,gas,mandatory_needs,expenditures
107,2024-09-03,CHEVRON 0306060 DUNSMUIR CA,-40.0,citi,gas,mandatory_needs,expenditures
108,2024-09-03,CHEVRON 0095610 CORNING CA,-45.14,citi,gas,mandatory_needs,expenditures
109,2024-09-02,CHEVRON 0357086 PORTLAND OR,-3.09,citi,gas,mandatory_needs,expenditures
110,2024-09-02,CHEVRON 0357086 PORTLAND OR,-62.21,citi,gas,mandatory_needs,expenditures
111,2024-09-01,OLIVE GARDEN ZK 0021584 TUKWILA WA,-88.07,citi,dining,luxuries,expenditures
112,2024-08-29,INDIA METRO HYPER BELLEVUE WA,-63.47,citi,groceries,mandatory_needs,expenditures
113,2024-08-29,COSTCO WHSE #1225 REDMOND WA,-37.44,citi,groceries,mandatory_needs,expenditures
114,2024-08-28,MAYURI FOODS REDMOND WA,-24.61,citi,dining,luxuries,expenditures
115,2024-08-27,FERN THAI BELLEVUE WA,-45.0,citi,dining,luxuries,expenditures
116,2024-08-27,MICHAEL'S SUBARU OF BELL BELLEVUE WA,-527.13,citi,maintenance,mandatory_needs,expenditures
117,2024-08-27,COSTCO WHSE #1225 REDMOND WA,-33.07,citi,groceries,mandatory_needs,expenditures
118,2024-08-27,COSTCO GAS #1225 REDMOND WA,-39.46,citi,gas,mandatory_needs,expenditures
119,2024-08-27,COSTCO WHSE #1225 REDMOND WA,-864.25,citi,groceries,mandatory_needs,expenditures
120,2024-08-25,OTF MILPITAS 0928 415-3778802 CA,-20.0,citi,subscriptions,flexible,expenditures
121,2024-08-19,"ONLINE PAYMENT, THANK YOU",322.3,citi,payment_confirmations,payment_confirmations,earnings
122,2024-08-11,COSTCO GAS #1004 SAN JOSE CA,-44.08,citi,gas,mandatory_needs,expenditures
123,2024-08-10,SHELL OIL 57444216501 EMERYVILLE CA,-19.84,citi,gas,mandatory_needs,expenditures
124,2024-08-08,"ONLINE PAYMENT, THANK YOU",802.64,citi,payment_confirmations,payment_confirmations,earnings
125,2024-08-08,COSTCO GAS #1004 SAN JOSE CA,-49.37,citi,gas,mandatory_needs,expenditures
126,2024-08-08,COSTCO WHSE #1004 SAN JOSE CA,-74.11,citi,groceries,mandatory_needs,expenditures
127,2024-08-07,PY *SAJJ SAN JOSE SAN JOSE CA,-32.59,citi,dining,luxuries,expenditures
128,2024-08-06,ALASKA AIR 0272378533613SEATTLE WANAME: SIVAMOORTHY/PRABHUKU DEPART:08/27/2024 SJC TO SEA: AS: CLASS:X : STOP: ,-88.1,citi,travel,luxuries,expenditures
129,2024-08-06,THE EVEREST MOMO MILPITASSAN JOSE CA,-14.21,citi,dining,luxuries,expenditures
130,2024-08-05,OTF MILPITAS 0928 415-3778802 CA,-14.0,citi,subscriptions,flexible,expenditures
131,2024-08-04,WAL-MART #2119 MILPITAS CA,-68.97,citi,groceries,mandatory_needs,expenditures
132,2024-08-01,AUTOPAY 220127061156106RAUTOPAY AUTO-PMT,35.0,citi,payment_confirmations,payment_confirmations,earnings
133,2024-07-28,0793 GREAT CLIPS AT MONROSANTA CLARA CA,-34.0,citi,grooming,mandatory_needs,expenditures
134,2024-07-27,UDEMY: ONLINE COURSES HTTPSWWW.UDEMCA,-32.98,citi,growth,mandatory_needs,expenditures
135,2024-07-27,OTF MILPITAS 0928 415-3778802 CA,-199.0,citi,subscriptions,flexible,expenditures
136,2024-07-21,COSTCO WHSE #0423 SUNNYVALE CA,9.99,citi,groceries,mandatory_needs,earnings
137,2024-07-21,COSTCO GAS #1004 SAN JOSE CA,-23.39,citi,gas,mandatory_needs,expenditures
138,2024-07-21,COSTCO WHSE #1004 SAN JOSE CA,-161.89,citi,groceries,mandatory_needs,expenditures
139,2024-07-19,SAGE ACUPUNCTURE HEALTH SAN JOSE CA,-73.0,citi,mistake,luxuries,expenditures
140,2024-07-19,SAGE ACUPUNCTURE HEALTH SAN JOSE CA,-83.0,citi,mistake,luxuries,expenditures
141,2024-07-07,WAL-MART #2119 MILPITAS CA,10.89,citi,groceries,mandatory_needs,earnings
142,2024-07-07,WAL-MART #2119 MILPITAS CA,-4.07,citi,groceries,mandatory_needs,expenditures
143,2024-07-07,WAL-MART #2119 MILPITAS CA,-4.35,citi,groceries,mandatory_needs,expenditures
144,2024-07-07,WAL-MART #2119 MILPITAS CA,-10.89,citi,groceries,mandatory_needs,expenditures
145,2024-07-07,COSTCO GAS #1004 SAN JOSE CA,-38.88,citi,gas,mandatory_needs,expenditures
146,2024-07-07,COSTCO WHSE #1004 SAN JOSE CA,-101.08,citi,groceries,mandatory_needs,expenditures
147,2024-07-05,FANTASIA COFFEE & TEA MI MILPITAS CA,-8.25,citi,dining,luxuries,expenditures
148,2024-07-03,"ONLINE PAYMENT, THANK YOU",2983.9,citi,payment_confirmations,payment_confirmations,earnings
149,2024-07-02,COSTCO WHSE #1004 SAN JOSE CA,21.86,citi,groceries,mandatory_needs,earnings
150,2024-07-02,WAL-MART #2119 MILPITAS CA,-22.63,citi,groceries,mandatory_needs,expenditures
151,2024-07-01,AUTOPAY 220127061156106RAUTOPAY AUTO-PMT,40.0,citi,payment_confirmations,payment_confirmations,earnings
152,2024-08-02,CHIPOTLE 1031 NEWARK CAAPPLE PAY ENDING IN 2876,-12.29,discover,dining,luxuries,expenditures
153,2024-08-08,SQ *NAMMA RESTAURANT MILPITAS CAAPPLE PAY ENDING IN 28760001152921514400387592,-92.84,discover,dining,luxuries,expenditures
154,2024-08-19,INTERNET PAYMENT - THANK YOU,105.13,discover,payment_confirmations,payment_confirmations,earnings
155,2024-09-07,SQ *INDIAN SIZZLER SANTA CLARA CAAPPLE PAY ENDING IN 28760001152921514509188995,-109.12,discover,dining,luxuries,expenditures
156,2024-09-10,0793 GREAT CLIPS AT MONR SANTA CLARA CAAPPLE PAY ENDING IN 2876,-31.0,discover,grooming,mandatory_needs,expenditures
157,2024-09-26,PAYMENT TO CHASE CARD ENDING IN 5782 09/26,-1655.15,chase_account,payments_made,payments_made,expenditures
158,2024-09-23,RIAMONEYTRANSFER CUST TRANS US179158408     WEB ID: 4222829900,-1205.99,chase_account,money_to_india,money_to_india,expenditures
159,2024-09-20,Western Digital  PAYROLL                    PPD ID: 1952647125,6835.68,chase_account,salary,income,earnings
160,2024-09-19,AMERICAN EXPRESS ACH PMT    M3644           WEB ID: 2005032111,-164.98,chase_account,payments_made,payments_made,expenditures
161,2024-09-19,WELLS FARGO CARD BPPYMT                     WEB ID: BILTBPPYMT,-1605.42,chase_account,payments_made,payments_made,expenditures
162,2024-09-19,RIAMONEYTRANSFER CUST TRANS US70239508      WEB ID: 4222829900,-1205.99,chase_account,money_to_india,money_to_india,expenditures
163,2024-09-18,CITI CARD ONLINE PAYMENT    431489973082302 WEB ID: CITICTP,-560.55,chase_account,payments_made,payments_made,expenditures
164,2024-09-13,Western Digital  PAYROLL                    PPD ID: 1952647125,2205.75,chase_account,salary,income,earnings
165,2024-09-09,Zelle payment to Abi HO JPM99anelksx,-125.0,chase_account,utilities,mandatory_needs,expenditures
166,2024-09-04,Zelle payment to Yashwanth WD JPM99an4loig,-20.0,chase_account,cash_out,Lent_out,expenditures
167,2024-09-04,CITI CARD ONLINE PAYMENT    421477809360108 WEB ID: CITICTP,-1654.43,chase_account,payments_made,payments_made,expenditures
168,2024-09-03,Payment to Chase card ending in 5782 09/03,-375.57,chase_account,payments_made,payments_made,expenditures
169,2024-09-03,APPLECARD GSBANK PAYMENT    1116367         WEB ID: 9999999999,-107.29,chase_account,payments_made,payments_made,expenditures
170,2024-09-03,Zelle payment to WILLIAM 21918941985,-50.0,chase_account,cash_out,Lent_out,expenditures
171,2024-09-03,Zelle payment to JULIAN JPM99amyovlf,-50.0,chase_account,cash_out,Lent_out,expenditures
172,2024-08-30,Western Digital  PAYROLL                    PPD ID: 1952647125,2117.45,chase_account,salary,income,earnings
173,2024-08-30,Western Digital  PAYROLL                    PPD ID: 1952647125,2300.38,chase_account,salary,income,earnings
174,2024-08-28,RIAMONEYTRANSFER CUST TRANS US571406428     WEB ID: 4222829900,-1205.99,chase_account,money_to_india,money_to_india,expenditures
175,2024-08-23,Zelle payment to Siva Intern WD JPM99amejzb7,-81.08,chase_account,cash_out,Lent_out,expenditures
176,2024-08-22,WELLS FARGO CARD BPPYMT                     WEB ID: BILTBPPYMT,-1462.78,chase_account,payments_made,payments_made,expenditures
177,2024-08-20,AAA MILPITAS TOWN CTR MILPITAS CA            08/20,-322.0,chase_account,insurance,mandatory_needs,expenditures
178,2024-08-20,DISCOVER         E-PAYMENT  2918            WEB ID: 2510020270,-105.13,chase_account,payments_made,payments_made,expenditures
179,2024-08-20,CITI CARD ONLINE PAYMENT    421464810825701 WEB ID: CITICTP,-322.3,chase_account,payments_made,payments_made,expenditures
180,2024-08-19,AMERICAN EXPRESS ACH PMT    M1906           WEB ID: 2005032111,-10.37,chase_account,payments_made,payments_made,expenditures
181,2024-08-19,Payment to Chase card ending in 5782 08/19,-331.37,chase_account,payments_made,payments_made,expenditures
182,2024-08-16,Western Digital  PAYROLL                    PPD ID: 1952647125,2300.39,chase_account,salary,income,earnings
183,2024-08-09,CITI CARD ONLINE PAYMENT    421455446358478 WEB ID: CITICTP,-802.64,chase_account,payments_made,payments_made,expenditures
184,2024-08-08,Zelle payment from DHANUNJAYA GORRLE BACcrtphfxhc,23.21,chase_account,refunded_money,returned_back,earnings
185,2024-08-08,Zelle payment from ARVIND BHUSHAN WFCT0XYBSDVM,23.21,chase_account,refunded_money,returned_back,earnings
186,2024-08-08,Zelle payment from VIJAY KUMAR MOTAGI BACn9ix4xvrz,23.21,chase_account,refunded_money,returned_back,earnings
187,2024-08-08,Zelle payment from DEEPAK VEERAPANDIAN BACnu3lsl3zz,1000.0,chase_account,refunded_money,returned_back,earnings
188,2024-08-07,ATM WITHDRAWAL                       001418  08/0737 N MILP,-1000.0,chase_account,cash_out,Lent_out,expenditures
189,2024-08-05,Zelle payment to Abi HO JPM99alh90fr,-176.0,chase_account,utilities,mandatory_needs,expenditures
190,2024-08-05,APPLECARD GSBANK PAYMENT    1116367         WEB ID: 9999999999,-94.0,chase_account,payments_made,payments_made,expenditures
191,2024-08-02,CITI AUTOPAY     PAYMENT    081449810800140 WEB ID: CITICARDAP,-35.0,chase_account,payments_made,payments_made,expenditures
192,2024-08-02,Western Digital  PAYROLL                    PPD ID: 1952647125,2300.39,chase_account,salary,income,earnings
193,2024-07-30,Zelle payment to Guitarist JPM99al3d757,-755.62,chase_account,cash_out,Lent_out,expenditures
194,2024-07-29,APPLECARD GSBANK PAYMENT    1116367         WEB ID: 9999999999,-327.45,chase_account,payments_made,payments_made,expenditures
195,2024-07-26,WELLS FARGO CARD BPPYMT                     WEB ID: BILTBPPYMT,-1345.22,chase_account,payments_made,payments_made,expenditures
196,2024-07-26,Payment to Chase card ending in 5782 07/26,-123.99,chase_account,payments_made,payments_made,expenditures
197,2024-07-25,APPLECARD GSBANK PAYMENT    1116367         WEB ID: 9999999999,-269.95,chase_account,payments_made,payments_made,expenditures
198,2024-07-23,RIAMONEYTRANSFER CUST TRANS US1055771642    WEB ID: 4222829900,-2400.99,chase_account,money_to_india,money_to_india,expenditures
199,2024-07-19,Western Digital  PAYROLL                    PPD ID: 1952647125,2300.38,chase_account,salary,income,earnings
200,2024-07-18,RIAMONEYTRANSFER CUST TRANS US824257042     WEB ID: 4222829900,-1205.99,chase_account,money_to_india,money_to_india,expenditures
201,2024-07-18,Zelle payment from MOHAMED JAMSHEETH HAJANAJUBUDEEN BACh425lwiup,26.0,chase_account,refunded_money,returned_back,earnings
202,2024-07-17,WF Credit Card   AUTO PAY                   PPD ID: 50260000,-25.0,chase_account,payments_made,payments_made,expenditures
203,2024-07-17,Zelle payment from SRINIVAS REDDY GUDEPU BACgzwhc06pe,26.0,chase_account,refunded_money,returned_back,earnings
204,2024-07-15,Payment to Chase card ending in 5782 07/15,-686.34,chase_account,payments_made,payments_made,expenditures
205,2024-07-12,RIAMONEYTRANSFER CUST TRANS US571097942     WEB ID: 4222829900,-1205.99,chase_account,money_to_india,money_to_india,expenditures
206,2024-07-11,Zelle payment from ZAKIR MOHAMMED BACrkno11h58,23.0,chase_account,refunded_money,returned_back,earnings
207,2024-07-11,Zelle payment from SAIROOP DASARAJU WFCT0SDZ5GNK,23.0,chase_account,refunded_money,returned_back,earnings
208,2024-07-11,Zelle payment from SRINIVAS REDDY GUDEPU BAChosjcg517,23.0,chase_account,refunded_money,returned_back,earnings
209,2024-07-11,Zelle payment from NAVNEET PUROHIT BACqrymt9jmr,23.0,chase_account,refunded_money,returned_back,earnings
210,2024-07-11,Zelle payment from MOHAMED JAMSHEETH HAJANAJUBUDEEN BACehtx3j7vf,23.0,chase_account,refunded_money,returned_back,earnings
211,2024-07-09,RIAMONEYTRANSFER CUST TRANS US436921942     WEB ID: 4222829900,-1205.99,chase_account,money_to_india,money_to_india,expenditures
212,2024-07-08,Zelle payment to Sravan WD JPM99ak03wnx,-20.0,chase_account,cash_out,Lent_out,expenditures
213,2024-07-08,Zelle payment from KARTHIKEYAN RAMALINGAM 21330617934,30.0,chase_account,refunded_money,returned_back,earnings
214,2024-07-05,CITI CARD ONLINE PAYMENT    421424477714133 WEB ID: CITICTP,-2983.9,chase_account,payments_made,payments_made,expenditures
215,2024-07-05,Zelle payment to Abi HO JPM99ajshapn,-117.0,chase_account,utilities,mandatory_needs,expenditures
216,2024-07-05,Zelle payment to Abi HO JPM99ajsgu7i,-135.0,chase_account,utilities,mandatory_needs,expenditures
217,2024-07-05,Zelle payment to Abi HO JPM99ajsh226,-136.0,chase_account,utilities,mandatory_needs,expenditures
218,2024-07-05,Western Digital  PAYROLL                    PPD ID: 1952647125,2300.38,chase_account,salary,income,earnings
219,2024-07-02,CITI AUTOPAY     PAYMENT    081423026710070 WEB ID: CITICARDAP,-40.0,chase_account,payments_made,payments_made,expenditures
220,2024-07-02,RIAMONEYTRANSFER CUST TRANS US2113271429    WEB ID: 4222829900,-1205.99,chase_account,money_to_india,money_to_india,expenditures
221,2024-07-02,RIAMONEYTRANSFER CUST TRANS US2039204129    WEB ID: 4222829900,-1205.99,chase_account,money_to_india,money_to_india,expenditures
222,2024-07-01,Payment to Chase card ending in 5782 07/01,-582.88,chase_account,payments_made,payments_made,expenditures
